Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA
,,,,,,,"49ers won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Robbie Gould kicks off 60 yards, returned by Boston Scott for 29 yards (tackle by Jimmie Ward)",0,1.2
1,14:54,1,10,PHI 34,0,0,Jalen Hurts pass complete short right to A.J. Brown for 6 yards (tackle by Charvarius Ward),1.2,1.47
1,14:22,2,4,PHI 40,0,0,Miles Sanders up the middle for 6 yards (tackle by Dre Greenlaw and Fred Warner),1.47,1.99
1,13:55,1,10,PHI 46,0,0,Jalen Hurts pass complete short left to Dallas Goedert for 2 yards (tackle by Oren Burks and Azeez Al-Shaair),1.99,1.72
1,13:16,2,8,PHI 48,0,0,Jalen Hurts sacked by Arik Armstead for no gain,1.72,1.03
1,12:37,3,8,PHI 48,0,0,Jalen Hurts pass complete short middle to A.J. Brown for 10 yards (tackle by Charvarius Ward),1.03,2.79
1,12:01,1,10,SFO 42,0,0,Miles Sanders up the middle for no gain (tackle by Kevin Givens),2.79,2.24
1,11:19,2,10,SFO 42,0,0,Jalen Hurts pass incomplete short right intended for Dallas Goedert (defended by Talanoa Hufanga),2.24,1.55
1,11:11,3,10,SFO 42,0,0,Jalen Hurts pass complete short middle to Dallas Goedert for 7 yards (tackle by Talanoa Hufanga),1.55,0.99
1,10:29,4,3,SFO 35,0,0,Jalen Hurts pass complete deep left to DeVonta Smith for 29 yards (tackle by Jimmie Ward),0.99,5.83
1,10:01,1,6,SFO 6,0,0,Jalen Hurts pass incomplete short left intended for Kenneth Gainwell,5.83,4.95
1,9:51,2,6,SFO 6,0,6,"Miles Sanders left guard for 6 yards, touchdown",4.95,7
1,9:48,,,SFO 15,0,7,Jake Elliott kicks extra point good,0,0
1,9:48,,,PHI 35,0,7,"Jake Elliott kicks off 65 yards, touchback.",0,0.61
1,9:48,1,10,SFO 25,0,7,Brock Purdy pass complete short middle to George Kittle for 9 yards (tackle by Kyzir White),0.61,1.28
1,9:11,2,1,SFO 34,0,7,Christian McCaffrey right guard for no gain (tackle by C.J. Gardner-Johnson and Kyzir White),1.28,0.56
1,8:45,3,1,SFO 34,0,7,Christian McCaffrey up the middle for 2 yards (tackle by Josh Sweat),0.56,1.33
1,8:09,1,10,SFO 36,0,7,"Brock Purdy pass complete short left to Brandon Aiyuk for 10 yards (tackle by James Bradberry). Penalty on Haason Reddick: Defensive Offside, 5 yards (declined)",1.33,1.99
1,7:39,1,10,SFO 46,0,7,Deebo Samuel right end for 4 yards (tackle by C.J. Gardner-Johnson and Darius Slay),1.99,1.99
1,7:03,2,6,PHI 50,0,7,"Brock Purdy pass incomplete Replay Assistant challenged the fumble ruling, and the original play was overturned. Brock Purdy sacked by Haason Reddick for no gain. Brock Purdy fumbles (forced by Haason Reddick), recovered by Linval Joseph at PHI-44 (tackle by Haason Reddick)",1.99,-1.86
1,6:56,1,10,PHI 44,0,7,Miles Sanders right end for 1 yard (tackle by Tashaun Gipson),1.86,1.45
1,6:20,2,9,PHI 45,0,7,Jalen Hurts pass complete short middle to Jack Stoll for 5 yards (tackle by Dre Greenlaw),1.45,1.42
1,5:34,3,4,SFO 50,0,7,Kenneth Gainwell left guard for no gain (tackle by Samson Ebukam),1.42,-0.06
1,4:57,4,4,SFO 50,0,7,"Brett Kern punts 50 yards, touchback.",-0.06,-0.28
1,4:50,1,10,SFO 20,0,7,Christian McCaffrey left end for 4 yards (tackle by Milton Williams and Josh Sweat),0.28,0.27
1,4:12,2,6,SFO 24,0,7,Josh Johnson sacked by Haason Reddick for -9 yards,0.27,-1.86
1,3:23,3,15,SFO 15,0,7,"Penalty on SFO: Delay of Game, 5 yards (accepted) (no play)",-1.86,-2.59
1,3:21,3,20,SFO 10,0,7,Christian McCaffrey right tackle for 16 yards (tackle by Darius Slay and Reed Blankenship),-2.59,-1.63
1,2:29,4,4,SFO 26,0,7,"Mitch Wishnowsky punts 45 yards downed by Danny Gray. Penalty on Josh Jobe: Unnecessary Roughness / Defense, 14 yards (accepted)",-1.63,0.22
1,2:18,1,10,PHI 15,0,7,Jalen Hurts pass complete short left to A.J. Brown for 11 yards (tackle by Jimmie Ward),-0.22,0.67
1,1:41,1,10,PHI 26,0,7,Jalen Hurts pass complete short right to A.J. Brown for 1 yard (tackle by Jimmie Ward),0.67,0.27
1,1:01,2,9,PHI 27,0,7,Jalen Hurts right guard for -1 yards (tackle by Fred Warner),0.27,-0.56
1,0:20,,,,,,Timeout #1 by Philadelphia Eagles,,
1,0:20,3,10,PHI 26,0,7,Jalen Hurts pass incomplete deep right intended for A.J. Brown,-0.56,-1.63
1,0:15,4,10,PHI 26,0,7,"Brett Kern punts 34 yards out of bounds. Penalty on Zech McPhearson: Illegal Use of Hands / Offense, 10 yards (accepted)",-1.63,-2.26
1,0:09,1,10,SFO 50,0,7,Josh Johnson pass complete short right to Deebo Samuel for 9 yards (tackle by James Bradberry),2.26,2.93
2,15:00,2,1,PHI 41,0,7,Christian McCaffrey up the middle for 7 yards (tackle by T.J. Edwards),2.93,3.31
2,14:12,1,10,PHI 34,0,7,"Penalty on SFO: Delay of Game, 5 yards (accepted) (no play)",3.31,2.98
2,13:44,1,15,PHI 39,0,7,Josh Johnson sacked by Javon Hargrave for -5 yards,2.98,1.42
2,13:16,2,20,PHI 44,0,7,Josh Johnson pass incomplete short middle intended for Deebo Samuel (defended by Javon Hargrave),1.42,0.76
2,13:12,3,20,PHI 44,0,7,"Josh Johnson pass incomplete intended for George Kittle. Penalty on Trent Williams: Illegal Formation, 5 yards (declined)",0.76,0.33
2,13:07,4,20,PHI 44,0,7,"Mitch Wishnowsky punts 38 yards, fair catch by Britain Covey at PHI-6",0.33,0.38
2,13:00,1,10,PHI 6,0,7,Miles Sanders right tackle for -1 yards (tackle by Dre Greenlaw),-0.38,-0.85
2,12:18,2,11,PHI 5,0,7,Jalen Hurts right end for -3 yards (tackle by Nick Bosa),-0.85,-1.89
2,11:34,3,14,PHI 2,0,7,Jalen Hurts pass incomplete short left intended for A.J. Brown,-1.89,-2.49
2,11:27,4,14,PHI 2,0,7,"Brett Kern punts 53 yards, returned by Ray-Ray McCloud for 9 yards (tackle by Rick Lovato and Reed Blankenship)",-2.49,-2.52
2,11:15,1,10,PHI 46,0,7,Josh Johnson pass complete short right to Christian McCaffrey for 9 yards (tackle by C.J. Gardner-Johnson and Haason Reddick),2.52,3.19
2,10:31,2,1,PHI 37,0,7,Christian McCaffrey left end for 3 yards (tackle by Milton Williams),3.19,3.31
2,9:50,1,10,PHI 34,0,7,Josh Johnson pass complete short left to Christian McCaffrey for 9 yards (tackle by Kyzir White),3.31,3.99
2,9:17,2,1,PHI 25,0,7,Josh Johnson up the middle for 2 yards (tackle by Ndamukong Suh),3.99,4.04
2,8:43,1,10,PHI 23,0,7,Josh Johnson pass incomplete short right,4.04,3.5
2,8:37,2,10,PHI 23,6,7,"Christian McCaffrey right end for 23 yards, touchdown",3.5,7
2,8:29,,,PHI 15,7,7,Robbie Gould kicks extra point good,0,0
2,8:29,,,SFO 35,7,7,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
2,8:29,1,10,PHI 25,7,7,Miles Sanders left tackle for 4 yards (tackle by Fred Warner),0.61,0.6
2,7:54,2,6,PHI 29,7,7,Miles Sanders left tackle for 4 yards (tackle by Talanoa Hufanga and Javon Kinlaw),0.6,0.43
2,7:14,3,2,PHI 33,7,7,Jalen Hurts left end for 1 yard (tackle by Dre Greenlaw and Nick Bosa),0.43,-1.11
2,6:36,4,1,PHI 34,7,7,Jalen Hurts up the middle for 2 yards (tackle by Arik Armstead),-1.11,1.33
2,5:54,1,10,PHI 36,7,7,Jalen Hurts pass complete short left to Miles Sanders for 3 yards (tackle by Talanoa Hufanga),1.33,1.26
2,5:16,2,6,PHI 39,7,7,Jalen Hurts pass incomplete deep right intended for DeVonta Smith (defended by Charvarius Ward),1.26,0.56
2,5:08,3,6,PHI 39,7,7,"Jalen Hurts pass incomplete intended for A.J. Brown. Penalty on Jimmie Ward: Defensive Pass Interference, 3 yards (accepted) (no play)",0.56,1.73
2,5:04,1,10,PHI 42,7,7,Jalen Hurts pass incomplete short right,1.73,1.19
2,4:58,2,10,PHI 42,7,7,"Jalen Hurts sacked by Kerry Hyder for no gain. Penalty on T.Y. McGill: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.19,2.06
2,4:36,1,10,PHI 47,7,7,"Penalty on Isaac Seumalo: False Start, 5 yards (accepted) (no play)",2.06,1.73
2,4:10,1,15,PHI 42,7,7,Jalen Hurts pass complete short middle to Dallas Goedert for 4 yards (tackle by Dre Greenlaw and Fred Warner),1.73,1.38
2,3:33,2,11,PHI 46,7,7,Jalen Hurts pass complete short middle to Kenneth Gainwell for 9 yards (tackle by Deommodore Lenoir),1.38,1.88
2,2:53,3,2,SFO 45,7,7,Kenneth Gainwell right guard for 4 yards (tackle by Javon Kinlaw),1.88,2.85
2,2:24,1,10,SFO 41,7,7,Kenneth Gainwell left end for 17 yards (tackle by Deommodore Lenoir),2.85,3.97
2,2:00,1,10,SFO 24,7,7,Miles Sanders right end for 1 yard (tackle by Fred Warner),3.97,3.57
2,1:55,2,9,SFO 23,7,7,"Jalen Hurts pass incomplete. Penalty on Charvarius Ward: Illegal Contact, 5 yards (accepted) (no play)",3.57,4.37
2,1:46,1,10,SFO 18,7,7,Miles Sanders left end for 5 yards (tackle by Dre Greenlaw),4.37,4.61
2,1:40,2,5,SFO 13,7,13,"Miles Sanders left end for 13 yards, touchdown",4.61,7
2,1:36,,,SFO 15,7,14,Jake Elliott kicks extra point good,0,0
2,1:36,,,PHI 35,7,14,"Jake Elliott kicks off 65 yards, touchback.",0,0.61
2,1:36,1,10,SFO 25,7,14,Josh Johnson pass complete short right to Deebo Samuel for 11 yards (tackle by Marcus Epps),0.61,1.33
2,1:19,1,10,SFO 36,7,14,"Josh Johnson aborted snap, recovered by Haason Reddick at SF-30",1.33,-3.58
2,1:11,1,10,SFO 30,7,14,Jalen Hurts pass complete short middle to Dallas Goedert for 5 yards (tackle by Dre Greenlaw and Fred Warner),3.58,3.78
2,0:50,2,4,SFO 25,7,14,Jalen Hurts pass complete short middle to Dallas Goedert for 5 yards (tackle by Talanoa Hufanga),3.78,4.24
2,0:27,1,10,SFO 20,7,14,"Boston Scott for no gain. Penalty on Dre Greenlaw: Face Mask (15 Yards), 10 yards (accepted) (no play)",4.24,4.91
2,0:21,1,10,SFO 10,7,20,"Boston Scott right end for 10 yards, touchdown",4.91,7
2,0:16,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:16,,,SFO 15,7,21,Jake Elliott kicks extra point good,0,0
2,0:16,,,PHI 35,7,21,"Jake Elliott kicks off 68 yards, returned by Ray-Ray McCloud for 42 yards (tackle by Christian Elliss)",0,1.53
2,0:10,1,10,SFO 39,7,21,Josh Johnson pass incomplete short right,1.53,0.99
2,0:05,2,10,SFO 39,7,21,Josh Johnson pass complete short right to Deebo Samuel for 13 yards (tackle by Marcus Epps and Reed Blankenship),0.99,2.39
3,15:00,,,PHI 35,7,21,"Jake Elliott kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,SFO 25,7,21,Christian McCaffrey left guard for -3 yards (tackle by Josh Sweat),0.61,-0.34
3,14:24,2,13,SFO 22,7,21,Josh Johnson pass incomplete short left intended for Deebo Samuel,-0.34,-1.02
3,14:17,3,13,SFO 22,7,21,Josh Johnson pass complete short left to George Kittle for 22 yards (tackle by James Bradberry),-1.02,1.86
3,13:33,1,10,SFO 44,7,21,"Penalty on SFO: Delay of Game, 5 yards (accepted) (no play)",1.86,1.53
3,13:13,1,15,SFO 39,7,21,Josh Johnson pass complete short left to Christian McCaffrey for 1 yard (tackle by C.J. Gardner-Johnson),1.53,0.78
3,12:36,2,14,SFO 40,7,21,Josh Johnson pass incomplete deep right intended for Deebo Samuel,0.78,0.1
3,12:30,3,14,SFO 40,7,21,Christian McCaffrey left guard for 4 yards (tackle by T.J. Edwards),0.1,-0.46
3,11:51,4,10,SFO 44,7,21,"Mitch Wishnowsky punts 39 yards, fair catch by Britain Covey at PHI-17",-0.46,0.06
3,11:43,1,10,PHI 17,7,21,Miles Sanders left guard for 3 yards (tackle by Arik Armstead),-0.06,-0.06
3,11:06,2,7,PHI 20,7,21,Jalen Hurts pass incomplete short left intended for A.J. Brown,-0.06,-0.87
3,11:01,3,7,PHI 20,7,21,Jalen Hurts pass incomplete deep right intended for A.J. Brown,-0.87,-2.03
3,10:56,4,7,PHI 20,7,21,"Brett Kern punts 43 yards, returned by Ray-Ray McCloud for 8 yards (tackle by Reed Blankenship)",-2.03,-1.93
3,10:47,1,10,SFO 45,7,21,Deebo Samuel right end for -4 yards (tackle by Patrick Johnson and Darius Slay),1.93,0.84
3,10:06,2,14,SFO 41,7,21,Christian McCaffrey left guard for 1 yard (tackle by Avonte Maddox and Javon Hargrave),0.84,0.3
3,9:26,3,13,SFO 42,7,21,Brock Purdy pass complete short right to Christian McCaffrey for 3 yards (tackle by Kyzir White),0.3,-0.39
3,8:43,4,10,SFO 45,7,21,"Mitch Wishnowsky punts 46 yards, fair catch by Britain Covey at PHI-9",-0.39,0.38
3,8:33,1,10,PHI 9,7,21,Boston Scott left tackle for 1 yard (tackle by Charles Omenihu),-0.38,-0.71
3,7:54,2,9,PHI 10,7,21,Jalen Hurts scrambles left end for 7 yards (tackle by Talanoa Hufanga),-0.71,-0.48
3,7:10,3,2,PHI 17,7,21,Jalen Hurts pass complete short left to DeVonta Smith for 7 yards (tackle by Deommodore Lenoir),-0.48,0.54
3,6:40,1,10,PHI 24,7,21,Kenneth Gainwell left guard for 6 yards (tackle by Deommodore Lenoir),0.54,0.81
3,6:10,2,4,PHI 30,7,21,Kenneth Gainwell left end for -1 yards (tackle by Nick Bosa),0.81,-0.03
3,5:28,3,5,PHI 29,7,21,Jalen Hurts pass complete short left to Kenneth Gainwell for 17 yards (tackle by Deommodore Lenoir),-0.03,1.99
3,4:54,1,10,PHI 46,7,21,Jalen Hurts left end for 4 yards (tackle by Deommodore Lenoir),1.99,1.99
3,4:13,2,6,SFO 50,7,21,Jalen Hurts pass incomplete short middle intended for Zach Pascal (defended by Jimmie Ward),1.99,1.29
3,4:10,3,6,SFO 50,7,21,Jalen Hurts pass incomplete deep right intended for Quez Watkins (defended by Charvarius Ward),1.29,-0.06
3,4:02,4,6,SFO 50,7,21,"Brett Kern punts, returned by Ray-Ray McCloud for no gain. Penalty on Jordan Mason: Roughing the Kicker, 15 yards (accepted) (no play)",-0.06,3.25
3,3:57,1,10,SFO 35,7,21,Jalen Hurts left end for 12 yards (tackle by Tashaun Gipson and Deommodore Lenoir),3.25,4.04
3,3:13,1,10,SFO 23,7,21,Jalen Hurts right end for 2 yards (tackle by Samson Ebukam),4.04,3.77
3,2:31,2,8,SFO 21,7,21,"Jalen Hurts right end for 14 yards (tackle by Charvarius Ward). Penalty on Talanoa Hufanga: Unnecessary Roughness / Defense, 4 yards (accepted)",3.77,6.51
3,2:00,1,3,SFO 3,7,21,Boston Scott up the middle for 2 yards (tackle by Nick Bosa),6.51,5.91
3,1:29,2,1,SFO 1,7,21,Jalen Hurts up the middle for no gain (tackle by Talanoa Hufanga and Samson Ebukam),5.91,5.17
3,0:48,3,1,SFO 1,7,27,"Jalen Hurts up the middle for 1 yard, touchdown",5.17,7
3,0:43,,,SFO 15,7,28,Jake Elliott kicks extra point good,0,0
3,0:43,,,PHI 35,7,28,"Jake Elliott kicks off 68 yards, returned by Deebo Samuel for 28 yards (tackle by Nakobe Dean). Penalty on Charlie Woerner: Offensive Holding, 10 yards (accepted)",0,-0.22
3,0:38,1,10,SFO 15,7,28,Christian McCaffrey left tackle for 9 yards (tackle by C.J. Gardner-Johnson),-0.22,0.62
3,0:03,2,1,SFO 24,7,28,Christian McCaffrey left guard for 4 yards (tackle by T.J. Edwards and Kyzir White),0.62,0.81
4,15:00,1,10,SFO 28,7,28,"Christian McCaffrey left end for no gain (tackle by T.J. Edwards). Penalty on Josh Sweat: Defensive Offside, 5 yards (accepted) (no play)",0.81,1.54
4,14:33,1,5,SFO 33,7,28,Deebo Samuel right end for 1 yard (tackle by Ndamukong Suh and Jordan Davis),1.54,1.07
4,13:48,2,4,SFO 34,7,28,Christian McCaffrey right guard for 5 yards (tackle by Jordan Davis),1.07,1.53
4,13:09,1,10,SFO 39,7,28,George Kittle right end for 4 yards (tackle by Kyzir White),1.53,1.53
4,12:25,2,6,SFO 43,7,28,Deebo Samuel left end for 1 yard (tackle by Avonte Maddox),1.53,0.96
4,11:44,3,5,SFO 44,7,28,Christian McCaffrey left tackle for 3 yards (tackle by Robert Quinn),0.96,-0.26
4,11:00,4,2,SFO 47,7,28,Deebo Samuel right guard for -4 yards (tackle by Avonte Maddox and Fletcher Cox),-0.26,-2.72
4,10:52,1,10,SFO 43,7,28,Kenneth Gainwell right guard for 3 yards (tackle by Arik Armstead),2.72,2.58
4,10:16,2,7,SFO 40,7,28,Kenneth Gainwell right end for 12 yards (tackle by Charvarius Ward),2.58,3.71
4,9:33,1,10,SFO 28,7,28,Kenneth Gainwell right guard for no gain (tackle by Arik Armstead),3.71,3.17
4,8:53,2,10,SFO 28,7,28,Kenneth Gainwell left guard for -2 yards (tackle by Charles Omenihu and Javon Kinlaw),3.17,2.21
4,7:56,3,12,SFO 30,7,28,Kenneth Gainwell right guard for 2 yards (tackle by Javon Kinlaw and Fred Warner),2.21,1.59
4,7:56,4,10,SFO 28,7,28,"Penalty on Dre Greenlaw: Unnecessary Roughness / Defense, 14 yards (accepted)",1.59,4.65
4,7:41,1,10,SFO 14,7,28,Kenneth Gainwell right guard for -3 yards (tackle by T.Y. McGill),4.65,3.59
4,6:55,2,13,SFO 17,7,28,Kenneth Gainwell right tackle for 6 yards (tackle by Fred Warner),3.59,3.62
4,6:11,3,7,SFO 11,7,28,Kenneth Gainwell right guard for -2 yards (tackle by T.Y. McGill),3.62,2.57
4,5:20,4,9,SFO 13,7,31,Jake Elliott 31 yard field goal good,2.57,3
4,5:17,,,PHI 35,7,31,"Jake Elliott kicks off 71 yards, returned by Deebo Samuel for 37 yards (tackle by K'Von Wallace)",0,1
4,5:07,1,10,SFO 31,7,31,Christian McCaffrey pass incomplete deep left,1,0.46
4,4:58,2,10,SFO 31,7,31,Brock Purdy pass complete short left to George Kittle for 1 yard (tackle by Brandon Graham),0.46,-0.1
4,4:19,3,9,SFO 32,7,31,"Christian McCaffrey left end for 6 yards (tackle by Reed Blankenship and Zech McPhearson). Penalty on Trent Williams: Disqualification / Offense, 15 yards (offset) . Penalty on K'Von Wallace: Disqualification / Defense, 15 yards (offset)",-0.1,-0.85
4,4:11,4,3,SFO 38,7,31,"Deebo Samuel left end for -7 yards. Deebo Samuel fumbles (forced by Reed Blankenship), recovered by Reed Blankenship at SF-31 (tackle by Reed Blankenship)",-0.85,-3.51
4,4:05,1,10,SFO 31,7,31,Boston Scott left end for 5 yards (tackle by Kerry Hyder and Azeez Al-Shaair),3.51,3.64
4,3:20,2,5,SFO 26,7,31,Boston Scott left tackle for -1 yards (tackle by Dre Greenlaw),3.64,2.81
4,2:35,3,6,SFO 27,7,31,Boston Scott up the middle for 4 yards (tackle by Dre Greenlaw and Kerry Hyder),2.81,2.05
4,2:00,4,2,SFO 23,7,31,Kenneth Gainwell left guard for 6 yards (tackle by Kerry Hyder and Kevin Givens),2.05,4.44
4,1:17,1,10,SFO 17,7,31,Gardner Minshew kneels for -1 yards,4.44,3.72
4,0:36,2,11,SFO 18,7,31,Gardner Minshew kneels for -1 yards,3.72,2.91